gap> ScanRange(1, 120);

============================================================
  SCANNING GROUPS: order 1 to 120
  (Reproducing Velasquez-Berroteran 2022, aiming past 60)
============================================================
  Order    ID                 Group  Equal Covering?
------------------------------------------------------------
      1     1                     1  cyclic — skip
      2     1                    C2  cyclic — skip
      3     1                    C3  cyclic — skip
      4     1                    C4  cyclic — skip
      4     2               C2 x C2  YES
      5     1                    C5  cyclic — skip
      6     1                    S3  no
      6     2                    C6  cyclic — skip
      7     1                    C7  cyclic — skip
      8     1                    C8  cyclic — skip
      8     2               C4 x C2  YES
      8     3                    D8  YES
      8     4                    Q8  YES
      8     5          C2 x C2 x C2  YES
      9     1                    C9  cyclic — skip
      9     2               C3 x C3  YES
     10     1                   D10  no
     10     2                   C10  cyclic — skip
     11     1                   C11  cyclic — skip
     12     1               C3 : C4  no
     12     2                   C12  cyclic — skip
     12     3                    A4  no
     12     4                   D12  YES
     12     5               C6 x C2  YES
     13     1                   C13  cyclic — skip
     14     1                   D14  no
     14     2                   C14  cyclic — skip
     15     1                   C15  cyclic — skip
     16     1                   C16  cyclic — skip
     16     2               C4 x C4  YES
     16     3        (C4 x C2) : C2  YES
     16     4               C4 : C4  YES
     16     5               C8 x C2  YES
     16     6               C8 : C2  YES
     16     7                   D16  YES
     16     8                  QD16  YES
     16     9                   Q16  YES
     16    10          C4 x C2 x C2  YES
     16    11               C2 x D8  YES
     16    12               C2 x Q8  YES
     16    13        (C4 x C2) : C2  YES
     16    14     C2 x C2 x C2 x C2  YES
     17     1                   C17  cyclic — skip
     18     1                   D18  no
     18     2                   C18  cyclic — skip
     18     3               C3 x S3  no
     18     4        (C3 x C3) : C2  YES
     18     5               C6 x C3  YES
     19     1                   C19  cyclic — skip
     20     1               C5 : C4  no
     20     2                   C20  cyclic — skip
     20     3               C5 : C4  no
     20     4                   D20  YES
     20     5              C10 x C2  YES
     21     1               C7 : C3  no
     21     2                   C21  cyclic — skip
     22     1                   D22  no
     22     2                   C22  cyclic — skip
